,Park Name,Site_Full_Name,Park_Code
1094,John Day Fossil Beds NM,John Day Fossil Beds National Monument,JODA
1101,John F. Kennedy NHS,John Fitzgerald Kennedy National Historic Site,JOFI
1108,John Muir NHS,John Muir National Historic Site,JOMU
1115,Johnstown Flood NMEM,Johnstown Flood National Memorial,JOFL
1122,Joshua Tree NP,Joshua Tree National Park,JOTR
5529,Kalaupapa NHP,Kalaupapa National Historical Park,KALA
5539,Kaloko Honokohau NHP,Kaloko-Honokōhau National Historical Park,KAHO
12456,Katahdin Woods and Waters NM,Katahdin Woods and Waters National Monument,KAWW
1129,Katmai NP & PRES,Katmai National Park & Preserve,KATM
1136,Kenai Fjords NP,Kenai Fjords National Park,KEFJ
1140,Kennesaw Mountain NBP,Kenilworth Park & Aquatic Gardens,KEAQ
12522,Keweenaw NHP,Kennesaw Mountain National Battlefield Park,KEMO
1147,Kings Canyon NP,Sequoia & Kings Canyon National Parks,SEKI
1154,Kings Mountain NMP,Kings Mountain National Military Park,KIMO
1161,Klondike Gold Rush NHP Alaska,Klondike Gold Rush - Seattle Unit National Historical Park,KLSE
1165,Klondike Gold Rush NHP Seattle,Klondike Gold Rush National Historical Park,KLGO
1172,Knife River Indian Villages NHS,Knife River Indian Villages National Historic Site,KNRI
1177,Kobuk Valley NP,Kobuk Valley National Park,KOVA
5736,Korean War Veterans MEM,Korean War Veterans Memorial,KOWA
1220,LBJ Memorial Grove on the Potomac,LBJ Memorial Grove on the Potomac,LYBA
5746,Lake Chelan NRA,,NOCA
1181,Lake Clark NP & PRES,Lake Clark National Park & Preserve,LACL
1185,Lake Mead NRA,Lake Mead National Recreation Area,LAKE
1192,Lake Meredith NRA,Lake Meredith National Recreation Area,LAMR
1199,Lake Roosevelt NRA,Lake Roosevelt National Recreation Area,LARO
1206,Lassen Volcanic NP,Lassen Volcanic National Park,LAVO
1213,Lava Beds NM,Lava Beds National Monument,LABE
1222,Lewis & Clark NHP,Lewis & Clark National Historic Trail,LECL
1229,Lincoln Boyhood NMEM,Lewis and Clark National Historical Park,LEWI
1236,Lincoln Home NHS,Lincoln Boyhood National Memorial,LIBO
1243,Lincoln MEM,Lincoln Memorial,LINC
1250,Little Bighorn Battlefield NM,Little Bighorn Battlefield National Monument,LIBI
6002,Little River Canyon NPRES,Little River Canyon National Preserve,LIRI
6005,Little Rock Central High School NHS,Little Rock Central High School National Historic Site,CHSC
1257,Longfellow House Washington's HQ NHS,Longfellow House Washington's Headquarters National Historic Site,LONG
1264,Lowell NHP,Lowell National Historical Park,LOWE
1271,Lyndon B. Johnson NHP,Lyndon B Johnson National Historical Park,LYJO
1278,Maggie L. Walker NHS,Maggie L Walker National Historic Site,MAWA
1279,Mammoth Cave NP,Mammoth Cave National Park,MACA
1286,Manassas NBP,Manassas National Battlefield Park,MANA
13092,Manhattan Project NHP,Manhattan Project National Historical Park,MAPR
6130,Manzanar NHS,Manzanar National Historic Site,MANZ
6136,Marsh-Billings-Rockefeller NHP,Marsh - Billings - Rockefeller National Historical Park,MABI
13142,"Martin Luther King, Jr. MEM","Martin Luther King, Jr. Memorial",MLKM
