,,,,,,,,,,,
Annual Visitation Report by Years: 1965 to 1985,,,,,,,,,,,
,,,,,,,,,,,
,"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,,,,,,,,,
,,,,,,,,,,,
,,Recreational Visits,,,,,,,,,
,Park Name,1979,1980,1981,1982,1983,1984,1985,Average,,
,Fort McHenry NM & HS,"543,543","614,665","672,541","685,443","723,297","772,531","795,752","686,825",,
,Fort Necessity NB,"108,058","132,487","153,898","139,511","134,187","166,539","140,199","139,268",,
,Fort Point NHS,"872,177","792,694","1,073,265","1,222,873","961,394","1,176,135","1,075,004","1,024,792",,
,Fort Pulaski NM,"276,608","283,483","239,572","278,463","291,318","365,084","381,616","302,306",,
,Fort Raleigh NHS,"305,153","350,464","299,252","300,353","359,761","389,893","272,832","325,387",,
,Fort Scott NHS,"12,008","35,922","51,633","63,725","73,306","78,035","76,193","55,832",,
,Fort Smith NHS,"90,584","102,361","136,786","129,012","118,692","121,561","138,410","119,629",,
,Fort Stanwix NM,"68,288","64,975","60,696","66,595","63,154","56,352","67,100","63,880",,
,Fort Sumter and Fort Moultrie NHP,"185,582","183,416","206,547","220,144","244,374","267,649","262,019","224,247",,
,Fort Union NM,"10,435","10,787","11,720","12,176","12,413","13,105","13,362","12,000",,
,Fort Union Trading Post NHS,"6,368","8,520","9,139","7,381","9,917","12,886","15,031","9,892",,
,Fort Vancouver NHS,"156,749","162,142","231,224","201,353","239,650","265,378","264,829","217,332",,
,Fort Washington Park,"496,921","488,614","334,867","332,693","256,219","304,382","367,587","368,755",,
,Fossil Butte NM,"13,669","10,823","12,431","17,393","16,402","14,771","15,585","14,439",,
,Frederick Douglass NHS,"34,137","38,974","35,322","30,943","30,347","29,507","30,881","32,873",,
,Frederick Law Olmsted NHS,,,"1,882","2,911","3,072","2,984","3,457","2,861",,
,Fredericksburg & Spotsylvania NMP,"1,010,717","995,434","1,000,456","961,455","244,328","232,626","240,932","669,421",,
,Friendship Hill NHS,,,,,"9,313","11,335","13,620","11,423",,
,Gates of the Arctic NP & PRES,,,,"1,381","2,138","2,440","1,381","1,835",,
,Gateway Arch NP,"1,859,431","1,928,825","2,282,261","2,967,323","2,948,022","1,709,993","2,140,316","2,262,310",,
,Gateway NRA,"8,773,128","9,053,257","9,376,479","9,869,135","10,347,510","7,881,106","8,640,734","9,134,478",,
,General Grant NMEM,"35,117","35,941","41,052","43,620","82,592","86,914","53,952","54,170",,
,George Rogers Clark NHP,"78,748","80,568","94,993","107,725","111,083","112,747","121,555","101,060",,
,George Washington Birthplace NM,"122,579","114,147","133,291","131,001","136,708","151,733","150,515","134,282",,
,George Washington Carver NM,"49,112","59,428","55,150","68,553","79,202","82,028","137,117","75,799",,
