,Visitors Scaled,Area Scaled,cei_pct_area,RONI
1230,0.06793284432962485,0.008045186273510953,0.43560000000000004,0.6
251,0.004393882359603217,0.000341960834989926,0.5506,1.2
1062,0.029355468331704087,0.008982305755164656,0.2018,-1.7
357,0.008688122378943631,0.0011343467989348268,0.0864,0.7
1302,0.0029079591542634036,0.0010309902418046972,0.1524,-1.5
2230,0.014935461166167487,0.00042504382602739303,0.051399999999999994,0.9
1632,0.0067872950026734635,0.001123029656535888,0.1244,-0.6
2679,0.009431356228444857,0.03240622949885705,0.501,-1.1
1942,0.14383598689294855,0.0007919853571343187,0.332,1.2
232,0.0029687609465913426,0.000341960834989926,0.0492,0.6
610,0.012766924405766841,0.01720424547645878,0.2018,-1.7
2453,0.00290396620073739,4.62128570778403e-06,0.11720000000000001,-0.2
2114,0.029356012825366727,0.4731293196412984,0.5770000000000001,-0.8
1158,0.07039867462982598,0.00042937896401333287,0.0286,0.5
1293,0.003091090522797405,0.0010309902418046972,0.1378,0.2
2386,0.00674990643783897,0.0015329219606916302,0.132,-1.2
1100,0.04491510073314257,0.000436861726939559,0.3034,0.0
1187,0.12684796611652238,0.00042937896401333287,0.1716,-1.2
914,0.05732774126241945,0.3008584617651346,0.45439999999999997,-0.7
653,0.0656252801873639,0.02938220606702132,0.2116,-0.3
2014,0.011842011170831983,0.0005150658993195822,0.057999999999999996,0.3
2618,0.016563678715343432,0.00035768465230526545,0.3322,2.2
2196,0.009913233119879718,5.7229544368842474e-05,0.3858,0.5
2246,0.0140675382679221,0.00042504382602739303,0.385,0.6
1138,0.03853744646266062,0.000436861726939559,0.43560000000000004,0.6
2778,0.0325599950342178,0.004579236300059023,0.132,-1.2
983,0.027429231251177466,0.16345795157233095,0.491,0.9
1086,0.010532685410074513,0.008982305755164656,0.1202,-0.6
636,0.010338119674625107,0.01720424547645878,0.3858,0.5
996,0.028575027415255912,0.16345795157233095,0.3322,2.2
522,0.8343510524881,1.4307386092210617e-06,0.18,0.5
991,0.019121891440305527,0.16345795157233095,0.1866,-1.4
2112,0.0380423202254349,0.4731293196412984,0.0724,1.5
2557,0.028953087515014412,0.004489242841539018,0.1244,-0.6
2499,0.8600074123737274,8.35265200063256e-05,0.059000000000000004,-0.2
2698,0.022766550520118497,0.0011616023694404878,0.19940000000000002,2.2
2079,0.005815373814864169,0.006515626548550992,0.15,-0.8
2736,0.013773330192209892,0.004579236300059023,0.12240000000000001,0.6
1989,0.012777451283244515,0.010925821081930546,0.5256000000000001,-1.1
1449,0.007333785142074731,0.0003433772662130548,0.2932,-1.6
1043,0.010710734837757223,0.0018295140743831563,0.45439999999999997,-0.7
961,0.010086926598261324,0.003614603714949998,0.2648,-1.1
934,0.02281373997088048,0.003614603714949998,0.12480000000000001,0.6
145,0.009970223456569189,0.000455547173175986,0.4104,-1.1
2573,0.021680648658930258,0.004489242841539018,0.45439999999999997,-0.7
1129,0.05344822391612184,0.000436861726939559,0.16519999999999999,1.5
1109,0.05520966091475661,0.000436861726939559,0.3998,0.2
1068,0.016595077849888906,0.008982305755164656,0.107,1.3
162,0.05849186871314005,0.048182511998996654,0.2018,-1.7
702,0.04007491506806352,1.0,0.46740000000000004,-0.5
1328,0.0014180429953975766,0.0010309902418046972,0.5256000000000001,-1.1
1568,0.0160803498408082,0.0010157814903886773,0.1226,-0.6
2183,0.009934105376947517,5.7229544368842474e-05,0.265,-0.1
359,0.0097749317295696,0.0011343467989348268,0.1378,0.2
899,0.054293641076311516,0.3008584617651346,0.265,-0.1
486,0.10854844160468816,2.7727714246704177e-05,0.1476,-1.1
2484,0.3238461362548201,8.35265200063256e-05,0.06480000000000001,0.1
1689,0.019837719108787292,0.0018220599262291145,0.49,-0.8
2817,0.03862783241065857,0.05065076501808047,0.3858,0.5
1108,0.05391666996387829,0.000436861726939559,0.19,-1.7
