,Att Chg,Visitors Scaled,Area Scaled,cei_pct_area,RONI,Region_Northeast,Region_Northern Rockies and Plains,Region_Northwest,Region_Ohio Valley,Region_South,Region_Southeast,Region_Southwest,Region_Upper Midwest,Region_West
60,1,0.05487945244404072,0.022497225547324244,0.0834,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
61,1,0.06068362018050569,0.022497225547324244,0.107,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,0,0.060446499210397055,0.022497225547324244,0.1882,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,1,0.0606236691073603,0.022497225547324244,0.1804,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,0,0.05911507696757445,0.022497225547324244,0.19940000000000002,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,1,0.06143254960545274,0.022497225547324244,0.1524,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66,0,0.055532700238702715,0.022497225547324244,0.195,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
67,0,0.053244602920528177,0.022497225547324244,0.1244,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68,1,0.054349425641886044,0.022497225547324244,0.265,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
69,0,0.053509757549104094,0.022497225547324244,0.491,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
70,0,0.05176912862915834,0.022497225547324244,0.057999999999999996,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
71,1,0.05519664940584179,0.022497225547324244,0.1444,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
72,1,0.05882471323050277,0.022497225547324244,0.0706,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
73,1,0.060740605476180994,0.022497225547324244,0.2086,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
74,1,0.06558569726981825,0.022497225547324244,0.099,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75,1,0.07035332578048671,0.022497225547324244,0.0766,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76,1,0.07163094034635197,0.022497225547324244,0.0724,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
77,1,0.07349182448133496,0.022497225547324244,0.1866,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
78,1,0.07559745587134965,0.022497225547324244,0.5770000000000001,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
79,1,0.07646522823634817,0.022497225547324244,0.1202,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
80,1,0.09072221483131647,0.022497225547324244,0.35200000000000004,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81,1,0.09880607684979072,0.022497225547324244,0.3858,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
82,1,0.11197349329324732,0.022497225547324244,0.3322,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
83,0,0.10867653733899713,0.022497225547324244,0.45439999999999997,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84,1,0.11746999692406508,0.022497225547324244,0.4104,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
85,0,0.11719778092056038,0.022497225547324244,0.11,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
86,0,0.08742568255956198,0.022497225547324244,0.40659999999999996,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
87,1,0.12758951210700978,0.022497225547324244,0.5376,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
88,0,0.10314211412481178,0.022497225547324244,0.132,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
89,1,0.10465275406332697,0.022497225547324244,0.13019999999999998,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
90,0,0.10355704051562725,0.022497225547324244,0.41259999999999997,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
91,1,0.10674962934842999,0.022497225547324244,0.5256000000000001,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92,1,0.06727032948657873,0.07121954114819438,0.09300000000000001,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1,0.08303837970255794,0.07121954114819438,0.29960000000000003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0,0.07276633882115147,0.07121954114819438,0.247,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0,0.0725189788573961,0.07121954114819438,0.12480000000000001,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1,0.07864076723815787,0.07121954114819438,0.14279999999999998,-0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0,0.06710015035079499,0.07121954114819438,0.17980000000000002,-0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1,0.0724235796821082,0.07121954114819438,0.1324,-0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1,0.0829286459361646,0.07121954114819438,0.34979999999999994,1.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0,0.07838408625949649,0.07121954114819438,0.3432,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1,0.08741671461340243,0.07121954114819438,0.1446,-1.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1,0.09366737308661455,0.07121954114819438,0.187,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,1,0.10721963446368998,0.07121954114819438,0.1018,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0,0.0851105401754102,0.07121954114819438,0.0674,2.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
