,Att Chg,Visitors Scaled,Area Scaled,cei_pct_area,RONI,Region_Northeast,Region_Northern Rockies and Plains,Region_Northwest,Region_Ohio Valley,Region_South,Region_Southeast,Region_Southwest,Region_Upper Midwest,Region_West
2126,0,0.03888030584492044,0.004965295382624963,0.2868,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2127,0,0.027020246856000078,0.004965295382624963,0.637,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2128,1,0.031237274496346095,0.004965295382624963,0.10679999999999999,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2129,1,0.03141261592630183,0.004965295382624963,0.2352,-1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2130,0,0.02877189449127577,0.004965295382624963,0.1592,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2131,1,0.046310895813623985,0.004965295382624963,0.33880000000000005,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2132,1,0.049345141717392016,0.004965295382624963,0.6314,-1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2133,0,0.04695307828001099,0.004965295382624963,0.47479999999999994,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2134,0,0.03585180160006784,0.004965295382624963,0.1646,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2135,1,0.0372134580951649,0.004965295382624963,0.1074,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2136,1,0.03956974658084211,0.004965295382624963,0.18,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2137,1,0.04401644057780522,0.004965295382624963,0.3778,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2138,1,0.04591383801631868,0.004965295382624963,0.299,-0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2139,0,0.04326119159739134,0.004965295382624963,0.3496,-1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2140,1,0.04655292882021276,0.004965295382624963,0.3968,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2141,0,0.01206720037594616,0.004965295382624963,0.4376,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2142,1,0.024041209211034233,0.004965295382624963,0.547,-1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2143,1,0.031460757527977334,0.004965295382624963,0.2064,-1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2144,0,0.025794623510591592,0.004965295382624963,0.6038,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2145,1,0.026607289080159743,0.004965295382624963,0.5454,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2146,1,0.02687273038848064,0.004965295382624963,0.1524,-1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2147,1,0.006570224463530307,8.741717222931272e-06,0.10619999999999999,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2148,0,0.005750050570765062,8.741717222931272e-06,0.068,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2149,0,0.005548650842654696,8.741717222931272e-06,0.06480000000000001,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2150,1,0.005813650484905179,8.741717222931272e-06,0.065,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2151,1,0.007234931899508602,8.741717222931272e-06,0.0318,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2152,1,0.007734014559080345,8.741717222931272e-06,0.1192,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2153,0,0.007246856883409874,8.741717222931272e-06,0.0622,-0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2154,1,0.007628898034320987,8.741717222931272e-06,0.053,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2155,0,0.006985832235793148,8.741717222931272e-06,0.0602,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2156,0,0.00497139328861906,8.741717222931272e-06,0.1298,-1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2157,0,0.004970951622548643,8.741717222931272e-06,0.3194,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2158,1,0.005846333774116072,8.741717222931272e-06,0.2724,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2159,1,0.0077861311553896065,8.741717222931272e-06,0.1628,2.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2160,1,0.00804936413335842,8.741717222931272e-06,0.021,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2161,1,0.008336888745200194,8.741717222931272e-06,0.1168,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2162,0,0.00750611486674493,8.741717222931272e-06,0.064,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2163,1,0.011878608963877898,8.741717222931272e-06,0.31079999999999997,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2164,1,0.012195725202437644,8.741717222931272e-06,0.059000000000000004,-0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2165,0,0.010361044345923467,8.741717222931272e-06,0.4708,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2166,1,0.010376944324458496,8.741717222931272e-06,0.365,-1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2167,0,0.008761329838871384,8.741717222931272e-06,0.1158,-1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2168,0,0.004945776656534847,8.741717222931272e-06,0.21960000000000002,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2169,0,0.004141061076234214,8.741717222931272e-06,0.155,-0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2170,1,0.004493952266497773,8.741717222931272e-06,0.3132,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2171,1,0.00489454339236642,8.741717222931272e-06,0.2168,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2172,1,0.0049281100137181484,8.741717222931272e-06,0.2868,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2173,0,0.004731568612382373,8.741717222931272e-06,0.637,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2174,1,0.005784942190328043,8.741717222931272e-06,0.10679999999999999,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2175,1,0.008210572249060797,8.741717222931272e-06,0.2352,-1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2176,0,0.0063555747533074166,8.741717222931272e-06,0.1592,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2177,1,0.00663779937230418,8.741717222931272e-06,0.33880000000000005,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2178,0,0.0028871711023190118,8.741717222931272e-06,0.6314,-1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2179,1,0.007919072642585265,8.741717222931272e-06,0.47479999999999994,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2180,1,0.0082485555311167,8.741717222931272e-06,0.1646,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2181,1,0.009303695773344039,8.741717222931272e-06,0.1074,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2182,0,0.002952537680740798,8.741717222931272e-06,0.18,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2183,0,0.0029070460754877982,8.741717222931272e-06,0.3778,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2184,1,0.010990418496268363,8.741717222931272e-06,0.299,-0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2185,0,0.010226777860516555,8.741717222931272e-06,0.3496,-1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2186,1,0.011473601177305077,8.741717222931272e-06,0.3968,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2187,0,0.0022012636949606786,8.741717222931272e-06,0.4376,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2188,0,0.0007596656411180512,8.741717222931272e-06,0.547,-1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2189,1,0.003510361927678064,8.741717222931272e-06,0.2064,-1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2190,1,0.008785621472744346,8.741717222931272e-06,0.6038,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2191,1,0.011079635042492693,8.741717222931272e-06,0.5454,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2192,1,0.011864917315694957,8.741717222931272e-06,0.1524,-1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2193,0,0.006673574324007996,9.377478475508092e-05,0.10619999999999999,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2194,1,0.007158965335396797,9.377478475508092e-05,0.068,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195,0,0.006613949404501637,9.377478475508092e-05,0.06480000000000001,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2196,1,0.007096690419467934,9.377478475508092e-05,0.065,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2197,0,0.006831690777217451,9.377478475508092e-05,0.0318,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2198,0,0.005807908825989752,9.377478475508092e-05,0.1192,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2199,1,0.009308995766189048,9.377478475508092e-05,0.0622,-0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,1,0.014784330041154444,9.377478475508092e-05,0.053,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2201,1,0.018372425197225983,9.377478475508092e-05,0.0602,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2202,1,0.019640890151464963,9.377478475508092e-05,0.1298,-1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2203,0,0.017016068694973928,9.377478475508092e-05,0.3194,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2204,0,0.011867125646047045,9.377478475508092e-05,0.2724,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2205,0,0.010512094142006241,9.377478475508092e-05,0.1628,2.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2206,1,0.015778078699593755,9.377478475508092e-05,0.021,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2207,1,0.01805486729259582,9.377478475508092e-05,0.1168,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2208,1,0.02002204797023524,9.377478475508092e-05,0.064,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2209,0,0.0036658283844650144,9.377478475508092e-05,0.31079999999999997,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2210,1,0.004559318844919559,9.377478475508092e-05,0.059000000000000004,-0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2211,1,0.005555275833710958,9.377478475508092e-05,0.4708,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2212,1,0.0058807837276086345,9.377478475508092e-05,0.365,-1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2213,1,0.006984065571511478,9.377478475508092e-05,0.1158,-1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2214,1,0.009135421000514983,9.377478475508092e-05,0.21960000000000002,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2215,0,0.006905007344906751,9.377478475508092e-05,0.155,-0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2216,1,0.007031323841046148,9.377478475508092e-05,0.3132,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2217,0,0.00613827504666202,9.377478475508092e-05,0.2168,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2218,0,0.00575579222968049,9.377478475508092e-05,0.2868,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2219,1,0.00583794211877814,9.377478475508092e-05,0.637,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2220,1,0.006248249898195971,9.377478475508092e-05,0.10679999999999999,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2221,0,0.00036834950272817134,9.377478475508092e-05,0.2352,-1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2222,1,0.005182951336349029,9.377478475508092e-05,0.1592,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2223,1,0.007725181237671996,9.377478475508092e-05,0.33880000000000005,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224,0,0.007555581466631687,9.377478475508092e-05,0.6314,-1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2225,1,0.008336447079129776,9.377478475508092e-05,0.47479999999999994,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2226,1,0.00847910521987462,9.377478475508092e-05,0.1646,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2227,1,0.009727695200944813,9.377478475508092e-05,0.1074,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2228,1,0.010995718489113373,9.377478475508092e-05,0.18,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2229,1,0.012896207590119753,9.377478475508092e-05,0.3778,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230,0,0.012625024622883426,9.377478475508092e-05,0.299,-0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2231,0,0.01214935026504381,9.377478475508092e-05,0.3496,-1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2232,0,0.011922333904849229,9.377478475508092e-05,0.3968,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2233,0,0.0022516136269882703,9.377478475508092e-05,0.4376,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2234,1,0.005884317056171974,9.377478475508092e-05,0.547,-1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2235,1,0.00871318823719588,9.377478475508092e-05,0.2064,-1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2236,1,0.010228544524798225,9.377478475508092e-05,0.6038,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2237,1,0.013312257028453012,9.377478475508092e-05,0.5454,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2238,0,0.011830909028272812,9.377478475508092e-05,0.1524,-1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2239,1,0.0015851395267283057,0.026086078894792638,0.0286,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2240,1,0.0021208804701446987,0.026086078894792638,0.15380000000000002,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2241,1,0.002151797095073922,0.026086078894792638,0.12619999999999998,1.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2242,0,0.001742814313867343,0.026086078894792638,0.1568,-0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2243,1,0.0026601547421244314,0.026086078894792638,0.0676,-0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2244,0,0.001340014857646609,0.026086078894792638,0.4384,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2245,1,0.0017834475923457504,0.026086078894792638,0.201,-1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2246,1,0.0019495140348227196,0.026086078894792638,0.1998,-1.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2247,1,0.0023147718750579685,0.026086078894792638,0.133,-0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2248,0,0.002130597123693883,0.026086078894792638,0.1782,-0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2249,0,0.002120438804074281,0.026086078894792638,0.2336,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2250,1,0.002623496458279781,0.026086078894792638,0.1168,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
