,Park_Code,Visitors,Gross Area Acres,State Count,Desig Code,CEIR_Numeric
168,GRPO,72178.85106382979,709.97,1,14,10
169,GRSA,301826.21276595746,41686.0,1,18,9
170,GRSA,301826.21276595746,107336.95,1,18,9
171,GRSM,9858940.89361702,522426.88,2,17,8
172,GRTE,1913983.574468085,310044.36,1,17,2
173,GRTE,1913983.574468085,23777.22,1,17,2
174,GRTE,1913983.574468085,310044.36,1,17,2
175,GRTE,1913983.574468085,23777.22,1,17,2
176,GUCO,348221.10638297873,254.9,1,13,8
177,GUIS,4698963.489361702,138306.64,2,29,0
178,GUMO,182789.74468085106,86367.1,1,17,7
179,GWCA,48918.89361702128,240.0,1,14,6
180,GWMP,7104075.723404256,6719.21,3,3,0
181,HAFE,410057.08510638296,3666.21,3,8,0
182,HAFO,16787.025,4351.15,1,14,3
183,HAGR,25604.17021276596,1.75,1,12,1
184,HALE,1172331.0,33489.24,1,17,4
185,HAMP,33929.063829787236,62.04,1,6,8
186,HART,47.05,31.5,1,8,1
187,HATU,2237.0,480.0,1,8,8
188,HAVO,1421612.9787234042,344812.18,1,17,4
189,HEHO,186604.87234042553,186.8,1,6,10
190,HOBE,74318.91489361702,2040.0,1,13,8
191,HOCU,42032.68085106383,1775.78,1,8,6
192,HOFR,159648.40425531915,838.43,1,6,1
193,HOFU,81994.82978723405,848.06,1,6,1
194,HOME,49491.70212765958,210.45,1,8,2
195,HOSP,1455157.6170212766,5554.15,1,17,7
196,HOVE,26768.23404255319,784.93,2,14,9
197,HSTR,48142.46808510638,13.67,1,6,6
198,HUTR,128789.93617021276,160.09,1,6,9
199,IATR,2941.8,235.16,1,28,10
200,INDE,3573091.489361702,44.87,1,8,1
201,INDU,1887907.170212766,16034.81,1,17,6
202,ISRO,20500.872340425532,571790.3,1,17,10
203,JAGA,19058.075,7.82,1,6,6
204,JAZZ,38349.05,5.13,1,8,7
205,JECA,118947.29787234042,1273.51,1,14,2
206,JEFF,2415020.5531914895,192.83,1,17,6
207,JELA,584506.5957446808,25875.4,1,10,7
208,JICA,49217.75,78.35,1,8,8
209,JODA,129716.48936170213,14062.19,1,14,3
