,Code_Year,Visitors,Visitors Scaled,vis_annual_chg,vis_annual_chg_pct,Designation,Gross Area Acres,Region,cei_pct_area,RONI,Visitor Trend Cat,Visitor Trend Bins,Visitor Trend Chg,Visitor Trend UpDn,Visitor Trend SigChg,RONI Event,RONI Intensity,RONI Desc,CEI Cat,GAA Cat,Desig Code,Region Code,Vis Trend Code,RONI Event Code,RONI Int Code,CEI Cat Code,GAA Cat Code
56,ACAD-1990,2339591.0,0.10748252322671531,-3101361.0,-0.5700033744094783,National Park,49076.65,Northeast,0.3194,0.2,Decrease,-1,1,0,0,Neutral,Neutral,Neutral,Increased,Very Large,16,1,0,2,1,1,5
57,ACAD-1991,2475857.0,0.11374268301960713,136266.0,0.058243513503001165,National Park,49076.65,Northeast,0.2724,0.6,Minimal Change,0,0,1,0,El Niño,Weak,Weak El Niño,Increased,Very Large,16,1,2,0,4,1,5
58,ACAD-1992,2382113.0,0.10943601503474773,-93744.0,-0.03786325300693861,National Park,49076.65,Northeast,0.1628,2.3,Minimal Change,0,0,0,0,El Niño,Very Strong,Very Strong El Niño,Nominal,Very Large,16,1,2,0,3,2,5
59,ACAD-1993,2656034.0,0.12202014629734238,273921.0,0.11499076660091272,National Park,49076.65,Northeast,0.021,0.5,Increase,1,1,1,0,El Niño,Weak,Weak El Niño,Nominal,Very Large,16,1,1,0,4,2,5
60,ACAD-1994,2710749.0,0.12453379345120377,54715.0,0.020600263400242617,National Park,49076.65,Northeast,0.1168,0.3,Minimal Change,0,0,1,0,Neutral,Neutral,Neutral,Nominal,Very Large,16,1,2,2,1,2,5
61,ACAD-1995,2845378.0,0.13071874826573737,134629.0,0.04966487122193903,National Park,49076.65,Northeast,0.064,1.3,Minimal Change,0,0,1,0,El Niño,Moderate,Moderate El Niño,Nominal,Very Large,16,1,2,0,0,2,5
62,ACAD-1996,2704831.0,0.12426191619895939,-140547.0,-0.049394843145620725,National Park,49076.65,Northeast,0.31079999999999997,-0.9,Minimal Change,0,0,0,0,La Niña,Weak,Weak La Niña,Increased,Very Large,16,1,2,1,4,1,5
63,ACAD-1997,2760306.0,0.12681047830917525,55475.0,0.020509599305834635,National Park,49076.65,Northeast,0.059000000000000004,-0.2,Minimal Change,0,0,1,0,Neutral,Neutral,Neutral,Nominal,Very Large,16,1,2,2,1,2,5
64,ACAD-1998,2594497.0,0.1191930914694676,-165809.0,-0.060069064806583035,National Park,49076.65,Northeast,0.4708,2.2,Minimal Change,0,0,0,0,El Niño,Very Strong,Very Strong El Niño,Extreme,Very Large,16,1,2,0,3,0,5
65,ACAD-1999,2602227.0,0.11954821332817817,7730.0,0.0029793829015797666,National Park,49076.65,Northeast,0.365,-1.5,Minimal Change,0,0,1,0,La Niña,Strong,Strong La Niña,Increased,Very Large,16,1,2,1,2,1,5
66,ACAD-2000,2469238.0,0.11343860131419896,-132989.0,-0.05110584126596181,National Park,49076.65,Northeast,0.1158,-1.7,Minimal Change,0,0,0,0,La Niña,Strong,Strong La Niña,Nominal,Very Large,16,1,2,1,2,2,5
67,ACAD-2001,2516551.0,0.11561219516946065,47313.0,0.019160971927371925,National Park,49076.65,Northeast,0.21960000000000002,-0.6,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Increased,Very Large,16,1,2,1,4,1,5
68,ACAD-2002,2558572.0,0.11754267067073837,42021.0,0.016697853530486764,National Park,49076.65,Northeast,0.155,-0.1,Minimal Change,0,0,1,0,Neutral,Neutral,Neutral,Nominal,Very Large,16,1,2,2,1,2,5
69,ACAD-2003,2431062.0,0.11168476792763563,-127510.0,-0.04983639311303337,National Park,49076.65,Northeast,0.3132,0.9,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Increased,Very Large,16,1,2,0,4,1,5
70,ACAD-2004,2207847.0,0.10143010742413255,-223215.0,-0.09181789686976309,National Park,49076.65,Northeast,0.2168,0.3,Minimal Change,0,0,0,0,Neutral,Neutral,Neutral,Increased,Very Large,16,1,2,2,1,1,5
71,ACAD-2005,2051484.0,0.0942466767393253,-156363.0,-0.07082148355388757,National Park,49076.65,Northeast,0.2868,0.6,Minimal Change,0,0,0,0,El Niño,Weak,Weak El Niño,Increased,Very Large,16,1,2,0,4,1,5
72,ACAD-2006,2083588.0,0.09572155800090926,32104.0,0.015649159340262953,National Park,49076.65,Northeast,0.637,-0.9,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Extreme,Very Large,16,1,2,1,4,0,5
73,ACAD-2007,2202228.0,0.10117196645076973,118640.0,0.056940239625108226,National Park,49076.65,Northeast,0.10679999999999999,0.6,Minimal Change,0,0,1,0,El Niño,Weak,Weak El Niño,Nominal,Very Large,16,1,2,0,4,2,5
74,ACAD-2008,2075857.0,0.09536639020146664,-126371.0,-0.05738325005403618,National Park,49076.65,Northeast,0.2352,-1.6,Minimal Change,0,0,0,0,La Niña,Strong,Strong La Niña,Increased,Very Large,16,1,2,1,2,1,5
75,ACAD-2009,2227698.0,0.10234207689596482,151841.0,0.07314617529049448,National Park,49076.65,Northeast,0.1592,-0.9,Minimal Change,0,0,1,0,La Niña,Weak,Weak La Niña,Nominal,Very Large,16,1,2,1,4,2,5
76,ACAD-2010,2504208.0,0.11504514871382489,276510.0,0.12412364692162044,National Park,49076.65,Northeast,0.33880000000000005,1.5,Increase,1,1,1,0,El Niño,Strong,Strong El Niño,Increased,Very Large,16,1,1,0,2,1,5
