,Visitors Scaled,Area Scaled,cei_pct_area,RONI
1013,0.18138476104448467,0.006976116286736587,0.36219999999999997,0.5
643,0.04072146632557401,1.0,0.044199999999999996,-0.8
1247,0.01934131777119281,0.031492119140237196,0.099,-1.6
1937,0.0031384987008482405,0.0344957910220529,0.3826,2.3
2674,0.0014633993402416176,0.14810017894304733,0.31420000000000003,0.9
2130,0.0026349520546765084,0.01817263385297442,0.0546,-0.6
563,0.03188549726343476,0.05375701109409925,0.2582,-0.2
1254,0.017983485986136544,0.01223046190971448,0.5770000000000001,-0.8
196,0.021714575271008507,0.050748850269539736,0.2158,2.3
820,0.05495147846831434,0.03180379846413318,0.1476,-1.1
3782,0.035130763953206245,0.04293668159954057,0.3858,0.5
841,0.24580942704851194,5.6575348319585556e-05,0.2662,-1.5
1557,0.11134503092458536,0.006976116286736587,0.1018,0.6
977,0.09609811017835056,0.006976116286736587,0.14279999999999998,-0.5
3554,0.07814004514195765,0.118549935358491,0.37799999999999995,-0.8
1977,0.0026050118249784557,0.01817263385297442,0.493,-0.9
2754,0.0019019813370685181,0.01817263385297442,0.256,-0.8
57,0.04984497457481343,0.022497225547324244,0.0834,0.6
1946,0.00333092116765766,0.0344957910220529,0.1592,0.5
3232,0.020369100892077618,0.01817263385297442,0.04,-0.9
183,0.04011595342543061,0.23505698514771678,0.32380000000000003,-1.1
1671,0.10074223524151456,0.006976116286736587,0.4546,0.6
296,0.07762392924841267,0.010513831525489882,0.195,-1.7
3902,0.2591503414739688,0.2234928701139527,0.295,-0.2
428,0.043574826706797874,0.013721040286368726,0.0834,0.3
3009,0.016476588576333603,0.007829458434436621,0.5094,-0.7
1152,0.005194276783865718,0.02264422228546187,0.008199999999999999,0.7
2500,0.060589492052704974,0.14810017894304733,0.3654,2.5
2068,0.002482143901217579,0.14810017894304733,0.21960000000000002,-0.9
667,0.058508716702439595,1.0,0.005600000000000001,-0.9
256,0.011329976073237191,0.009030646701590152,0.0706,-0.9
308,0.0978248988034359,0.010513831525489882,0.5770000000000001,-0.8
2271,0.027155929563632452,0.03127268025485283,0.17579999999999998,1.5
2255,0.027220823599227995,0.03127268025485283,0.001,0.3
2360,0.0382092409671598,0.015398883858127169,0.2086,0.6
883,0.12989526286250627,0.2972461671213726,0.193,1.3
3314,0.06299057136974008,0.14810017894304733,0.13720000000000002,-1.1
485,0.03065392286210519,0.07321993726071716,0.3014,0.6
2324,0.041510504360116565,0.021136679812765315,0.40700000000000003,-0.7
1316,0.713147743452905,0.1532774086372158,0.1352,-0.5
2118,0.0028831593834233375,0.01817263385297442,0.256,-0.8
2237,0.0027868422293946963,0.0344957910220529,0.42840000000000006,-1.1
385,0.04418161065442846,0.07097355882163141,0.1804,-0.2
1907,0.039749750521623765,0.118549935358491,0.7173999999999999,-1.2
699,0.0023210739390919694,0.018983011244112096,0.12619999999999998,1.3
2004,0.0035368308605810608,0.01817263385297442,0.1164,-1.5
3221,0.017888792948341524,0.14810017894304733,0.0292,-1.6
323,0.006349235267217962,0.09904949864744195,0.1376,0.0
2126,0.0026349520546765084,0.0344957910220529,0.0546,-0.6
2519,0.044432571919397514,0.0344957910220529,0.37920000000000004,-0.8
2117,0.0028831593834233375,0.0344957910220529,0.256,-0.8
773,0.07413391530360947,0.41091115870335804,0.133,-0.6
2368,0.03864867032897816,0.015398883858127169,0.3858,0.5
1060,0.17395287577318524,0.09096544967859242,0.195,0.6
1874,0.04007640972582941,0.13551952962217376,0.3486,-0.6
2078,0.0024478256190636786,0.0344957910220529,0.1568,0.6
1255,0.017983485986136544,0.031492119140237196,0.5770000000000001,-0.8
2256,0.024785496613788267,0.03127268025485283,0.3274,1.3
991,0.10244579194308419,0.006976116286736587,0.34979999999999994,1.6
277,0.033477413627380284,0.010513831525489882,0.1376,0.0
2523,0.04823314513356873,0.01817263385297442,0.0274,-0.3
2420,0.1179294099769319,0.0693531795848928,0.45380000000000004,-1.2
853,0.15951787191626227,5.6575348319585556e-05,0.2554,-1.4
2939,0.06612476263188177,0.06495476972097802,0.1864,0.5
484,0.03797014281207111,0.07321993726071716,0.1116,0.3
1172,0.00488894293194501,0.02264422228546187,0.16760000000000003,-1.6
3007,0.014584069481669659,0.007829458434436621,0.6437999999999999,0.5
983,0.09423284799091172,0.006976116286736587,0.17980000000000002,-0.8
3115,0.02214200029544793,0.01817263385297442,0.493,-0.9
3405,0.043779324124735515,0.02722697219682359,0.0706,-0.9
1867,0.040024579233852116,0.118549935358491,0.0572,-1.4
2296,0.1181255043587043,0.021136679812765315,0.2836,-1.7
3556,0.07814004514195765,0.118549935358491,0.37799999999999995,-0.8
3890,0.19997474852325467,0.2234928701139527,0.044199999999999996,-0.8
3860,0.19478986336804424,0.651275385649692,0.0015060000000000002,-0.6
3899,0.27977993648716937,0.2234928701139527,0.001,0.3
845,0.18961338124899904,5.6575348319585556e-05,0.2112,0.9
3282,0.05455469981106585,0.0344957910220529,0.7186,0.5
2819,0.002698010132790568,0.0344957910220529,0.0654,0.6
3191,0.01974226263964928,0.14810017894304733,0.07780000000000001,0.6
2026,0.0028662120835942512,0.14810017894304733,0.13,-0.1
3622,0.13779326949285486,0.0588121943567271,0.0286,0.5
2612,0.001970829742624182,0.0344957910220529,0.493,-0.9
1014,0.18138476104448467,0.09096544967859242,0.36219999999999997,0.5
3127,0.030025601720941805,0.01817263385297442,0.4412,2.2
2628,0.0023128121304252895,0.01817263385297442,0.4412,2.2
1789,0.07562887898978275,0.118549935358491,0.0,0.6
732,0.03987706711158978,0.03180379846413318,0.3034,0.0
