,Att Chg,Visitors Scaled,Area Scaled,cei_pct_area,RONI,Region_Northeast,Region_Northern Rockies and Plains,Region_Northwest,Region_Ohio Valley,Region_South,Region_Southeast,Region_Southwest,Region_West
72,1,0.026325877578909106,0.0007014095033037211,0.637,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0,0.026274702198426578,0.0007014095033037211,0.10679999999999999,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1,0.028220768721981333,0.0007014095033037211,0.2352,-1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1,0.029636854592867717,0.0007014095033037211,0.1592,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0,0.008568838422849551,0.0007014095033037211,0.33880000000000005,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1,0.025701608040283205,0.0007014095033037211,0.6314,-1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1,0.03926144812539791,0.0007014095033037211,0.47479999999999994,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0,0.03335758516699123,0.0007014095033037211,0.1646,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0,0.020851981287570237,0.0007014095033037211,0.1074,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1,0.021455336686683875,0.0007014095033037211,0.18,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1,0.023286083346000602,0.0007014095033037211,0.3778,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1,0.02985954928510447,0.0007014095033037211,0.299,-0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0,0.014138308826596429,0.0007014095033037211,0.3496,-1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1,0.02189558516535548,0.0007014095033037211,0.3968,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0,0.0008105105351764727,0.0007014095033037211,0.4376,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,1,0.002416108888123725,0.0007014095033037211,0.547,-1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0,0.0015011444941541476,0.0007014095033037211,0.2064,-1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1,0.002947725283547244,0.0007014095033037211,0.6038,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1,0.005334390802078281,0.0007014095033037211,0.5454,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1,0.005693085820528875,0.0007014095033037211,0.1524,-1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1,0.02555544274123379,0.05225530245855514,0.0336,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
93,1,0.02862175937452936,0.05225530245855514,0.3034,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
94,0,0.028088624075118914,0.05225530245855514,0.0946,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95,1,0.028774701322135818,0.05225530245855514,0.2812,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
96,1,0.03715788294227592,0.05225530245855514,0.1328,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
97,0,0.03243596096323283,0.05225530245855514,0.11359999999999999,-0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
98,1,0.037830523730946954,0.05225530245855514,0.1782,-0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
99,1,0.039266589031199804,0.05225530245855514,0.0236,1.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
100,0,0.03653466495256404,0.05225530245855514,0.2186,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
101,1,0.044099624678824834,0.05225530245855514,0.19,-1.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
