,Park_Code,Designation,Region,Gross Area Acres,Year,Percentage Area
143,ACAD,National Park,Northeast,49076.65,1937,0.1142
144,ACAD,National Park,Northeast,49076.65,1938,0.0626
145,ACAD,National Park,Northeast,49076.65,1939,0.0736
146,ACAD,National Park,Northeast,49076.65,1940,0.4138
147,ACAD,National Park,Northeast,49076.65,1941,0.1902
148,ACAD,National Park,Northeast,49076.65,1942,0.09960000000000001
149,ACAD,National Park,Northeast,49076.65,1943,0.17120000000000002
150,ACAD,National Park,Northeast,49076.65,1944,0.06860000000000001
151,ACAD,National Park,Northeast,49076.65,1945,0.171
152,ACAD,National Park,Northeast,49076.65,1946,0.1462
153,ACAD,National Park,Northeast,49076.65,1947,0.0184
154,ACAD,National Park,Northeast,49076.65,1948,0.1304
155,ACAD,National Park,Northeast,49076.65,1949,0.2144
156,ACAD,National Park,Northeast,49076.65,1950,0.1576
157,ACAD,National Park,Northeast,49076.65,1951,0.0674
158,ACAD,National Park,Northeast,49076.65,1952,0.12560000000000002
159,ACAD,National Park,Northeast,49076.65,1953,0.22899999999999998
160,ACAD,National Park,Northeast,49076.65,1954,0.1882
161,ACAD,National Park,Northeast,49076.65,1955,0.132
162,ACAD,National Park,Northeast,49076.65,1956,0.1348
163,ACAD,National Park,Northeast,49076.65,1957,0.16579999999999998
164,ACAD,National Park,Northeast,49076.65,1958,0.2858
165,ACAD,National Park,Northeast,49076.65,1959,0.0008
166,ACAD,National Park,Northeast,49076.65,1960,0.0746
167,ACAD,National Park,Northeast,49076.65,1961,0.013600000000000001
168,ACAD,National Park,Northeast,49076.65,1962,0.2432
169,ACAD,National Park,Northeast,49076.65,1963,0.2746
170,ACAD,National Park,Northeast,49076.65,1964,0.1632
171,ACAD,National Park,Northeast,49076.65,1965,0.157
172,ACAD,National Park,Northeast,49076.65,1966,0.1684
173,ACAD,National Park,Northeast,49076.65,1967,0.10060000000000001
174,ACAD,National Park,Northeast,49076.65,1968,0.0558
175,ACAD,National Park,Northeast,49076.65,1969,0.0168
176,ACAD,National Park,Northeast,49076.65,1970,0.0126
177,ACAD,National Park,Northeast,49076.65,1971,0.0762
178,ACAD,National Park,Northeast,49076.65,1972,0.3762
179,ACAD,National Park,Northeast,49076.65,1973,0.24719999999999998
180,ACAD,National Park,Northeast,49076.65,1974,0.0974
181,ACAD,National Park,Northeast,49076.65,1975,0.1448
182,ACAD,National Park,Northeast,49076.65,1976,0.2434
183,ACAD,National Park,Northeast,49076.65,1977,0.1834
184,ACAD,National Park,Northeast,49076.65,1978,0.26899999999999996
185,ACAD,National Park,Northeast,49076.65,1979,0.19399999999999998
186,ACAD,National Park,Northeast,49076.65,1980,0.10619999999999999
187,ACAD,National Park,Northeast,49076.65,1981,0.068
188,ACAD,National Park,Northeast,49076.65,1982,0.06480000000000001
189,ACAD,National Park,Northeast,49076.65,1983,0.065
190,ACAD,National Park,Northeast,49076.65,1984,0.0318
191,ACAD,National Park,Northeast,49076.65,1985,0.1192
192,ACAD,National Park,Northeast,49076.65,1986,0.0622
193,ACAD,National Park,Northeast,49076.65,1987,0.053
194,ACAD,National Park,Northeast,49076.65,1988,0.0602
195,ACAD,National Park,Northeast,49076.65,1989,0.1298
196,ACAD,National Park,Northeast,49076.65,1990,0.3194
197,ACAD,National Park,Northeast,49076.65,1991,0.2724
198,ACAD,National Park,Northeast,49076.65,1992,0.1628
199,ACAD,National Park,Northeast,49076.65,1993,0.021
200,ACAD,National Park,Northeast,49076.65,1994,0.1168
201,ACAD,National Park,Northeast,49076.65,1995,0.064
202,ACAD,National Park,Northeast,49076.65,1996,0.31079999999999997
203,ACAD,National Park,Northeast,49076.65,1997,0.059000000000000004
204,ACAD,National Park,Northeast,49076.65,1998,0.4708
205,ACAD,National Park,Northeast,49076.65,1999,0.365
206,ACAD,National Park,Northeast,49076.65,2000,0.1158
207,ACAD,National Park,Northeast,49076.65,2001,0.21960000000000002
208,ACAD,National Park,Northeast,49076.65,2002,0.155
209,ACAD,National Park,Northeast,49076.65,2003,0.3132
210,ACAD,National Park,Northeast,49076.65,2004,0.2168
211,ACAD,National Park,Northeast,49076.65,2005,0.2868
212,ACAD,National Park,Northeast,49076.65,2006,0.637
213,ACAD,National Park,Northeast,49076.65,2007,0.10679999999999999
214,ACAD,National Park,Northeast,49076.65,2008,0.2352
215,ACAD,National Park,Northeast,49076.65,2009,0.1592
216,ACAD,National Park,Northeast,49076.65,2010,0.33880000000000005
217,ACAD,National Park,Northeast,49076.65,2011,0.6314
218,ACAD,National Park,Northeast,49076.65,2012,0.47479999999999994
219,ACAD,National Park,Northeast,49076.65,2013,0.1646
220,ACAD,National Park,Northeast,49076.65,2014,0.1074
221,ACAD,National Park,Northeast,49076.65,2015,0.18
222,ACAD,National Park,Northeast,49076.65,2016,0.3778
223,ACAD,National Park,Northeast,49076.65,2017,0.299
224,ACAD,National Park,Northeast,49076.65,2018,0.3496
225,ACAD,National Park,Northeast,49076.65,2019,0.3968
226,ACAD,National Park,Northeast,49076.65,2020,0.4376
227,ACAD,National Park,Northeast,49076.65,2021,0.547
228,ACAD,National Park,Northeast,49076.65,2022,0.2064
229,ACAD,National Park,Northeast,49076.65,2023,0.6038
230,ACAD,National Park,Northeast,49076.65,2024,0.5454
231,ACAD,National Park,Northeast,49076.65,2025,0.1524
232,ADAM,National Historical Park,Northeast,23.82,1910,0.21239999999999998
233,ADAM,National Historical Park,Northeast,23.82,1911,0.26039999999999996
234,ADAM,National Historical Park,Northeast,23.82,1912,0.2566
235,ADAM,National Historical Park,Northeast,23.82,1913,0.2336
236,ADAM,National Historical Park,Northeast,23.82,1914,0.43439999999999995
237,ADAM,National Historical Park,Northeast,23.82,1915,0.196
238,ADAM,National Historical Park,Northeast,23.82,1916,0.23379999999999998
239,ADAM,National Historical Park,Northeast,23.82,1917,0.44520000000000004
240,ADAM,National Historical Park,Northeast,23.82,1918,0.30879999999999996
241,ADAM,National Historical Park,Northeast,23.82,1919,0.0316
242,ADAM,National Historical Park,Northeast,23.82,1920,0.19879999999999998
243,ADAM,National Historical Park,Northeast,23.82,1921,0.24480000000000002
244,ADAM,National Historical Park,Northeast,23.82,1922,0.1246
245,ADAM,National Historical Park,Northeast,23.82,1923,0.2594
246,ADAM,National Historical Park,Northeast,23.82,1924,0.575
247,ADAM,National Historical Park,Northeast,23.82,1925,0.1192
248,ADAM,National Historical Park,Northeast,23.82,1926,0.3848
249,ADAM,National Historical Park,Northeast,23.82,1927,0.07
250,ADAM,National Historical Park,Northeast,23.82,1928,0.121
251,ADAM,National Historical Park,Northeast,23.82,1929,0.0594
252,ADAM,National Historical Park,Northeast,23.82,1930,0.1618
253,ADAM,National Historical Park,Northeast,23.82,1931,0.1788
254,ADAM,National Historical Park,Northeast,23.82,1932,0.1076
255,ADAM,National Historical Park,Northeast,23.82,1933,0.071
256,ADAM,National Historical Park,Northeast,23.82,1934,0.2278
257,ADAM,National Historical Park,Northeast,23.82,1935,0.1268
258,ADAM,National Historical Park,Northeast,23.82,1936,0.1052
259,ADAM,National Historical Park,Northeast,23.82,1937,0.1142
260,ADAM,National Historical Park,Northeast,23.82,1938,0.0626
261,ADAM,National Historical Park,Northeast,23.82,1939,0.0736
262,ADAM,National Historical Park,Northeast,23.82,1940,0.4138
263,ADAM,National Historical Park,Northeast,23.82,1941,0.1902
264,ADAM,National Historical Park,Northeast,23.82,1942,0.09960000000000001
265,ADAM,National Historical Park,Northeast,23.82,1943,0.17120000000000002
266,ADAM,National Historical Park,Northeast,23.82,1944,0.06860000000000001
267,ADAM,National Historical Park,Northeast,23.82,1945,0.171
268,ADAM,National Historical Park,Northeast,23.82,1946,0.1462
269,ADAM,National Historical Park,Northeast,23.82,1947,0.0184
270,ADAM,National Historical Park,Northeast,23.82,1948,0.1304
271,ADAM,National Historical Park,Northeast,23.82,1949,0.2144
272,ADAM,National Historical Park,Northeast,23.82,1950,0.1576
273,ADAM,National Historical Park,Northeast,23.82,1951,0.0674
274,ADAM,National Historical Park,Northeast,23.82,1952,0.12560000000000002
275,ADAM,National Historical Park,Northeast,23.82,1953,0.22899999999999998
276,ADAM,National Historical Park,Northeast,23.82,1954,0.1882
277,ADAM,National Historical Park,Northeast,23.82,1955,0.132
278,ADAM,National Historical Park,Northeast,23.82,1956,0.1348
279,ADAM,National Historical Park,Northeast,23.82,1957,0.16579999999999998
280,ADAM,National Historical Park,Northeast,23.82,1958,0.2858
281,ADAM,National Historical Park,Northeast,23.82,1959,0.0008
282,ADAM,National Historical Park,Northeast,23.82,1960,0.0746
283,ADAM,National Historical Park,Northeast,23.82,1961,0.013600000000000001
284,ADAM,National Historical Park,Northeast,23.82,1962,0.2432
285,ADAM,National Historical Park,Northeast,23.82,1963,0.2746
286,ADAM,National Historical Park,Northeast,23.82,1964,0.1632
287,ADAM,National Historical Park,Northeast,23.82,1965,0.157
288,ADAM,National Historical Park,Northeast,23.82,1966,0.1684
289,ADAM,National Historical Park,Northeast,23.82,1967,0.10060000000000001
290,ADAM,National Historical Park,Northeast,23.82,1968,0.0558
291,ADAM,National Historical Park,Northeast,23.82,1969,0.0168
292,ADAM,National Historical Park,Northeast,23.82,1970,0.0126
293,ADAM,National Historical Park,Northeast,23.82,1971,0.0762
