,cei_pct_area,RONI,Gross Area Acres,Desig_NatlPark,Region_Multiple,Region_Northeast,Region_Northern Rockies and Plains,Region_Northwest,Region_Ohio Valley,Region_South,Region_Southeast,Region_Southwest,Region_Upper Midwest,Region_West
13586,0.0946,0.1,16062.92,0,False,False,False,False,False,False,True,False,False,False
1938,0.2488,-0.5,337597.83,1,False,False,False,False,False,False,False,True,False,False
4324,0.11,0.6,1278.72,0,False,False,False,False,False,False,False,True,False,False
9465,0.2186,0.7,3945.29,0,False,False,False,False,False,False,True,False,False,False
16028,0.16899999999999998,-1.2,70446.89,1,False,False,True,False,False,False,False,False,False,False
11470,0.254,0.0,236381.64,1,False,False,False,True,False,False,False,False,False,False
13810,0.252,-1.1,139090.97,0,False,False,False,False,False,False,False,False,False,True
6886,0.13019999999999998,-0.8,2735.28,0,False,False,False,False,False,False,False,True,False,False
7542,0.3456,-0.6,254.9,0,False,False,False,False,False,False,True,False,False,False
8602,0.5197999999999999,0.1,78.35,0,False,False,False,False,False,False,True,False,False,False
2291,0.36060000000000003,-0.8,268.49,0,False,False,False,False,False,False,True,False,False,False
5972,0.3132,0.9,7.21,0,False,True,False,False,False,False,False,False,False,False
5702,0.1446,-1.7,440.14,0,False,False,True,False,False,False,False,False,False,False
6537,0.1168,0.3,6037.14,0,False,True,False,False,False,False,False,False,False,False
11169,0.06480000000000001,0.1,1027.76,0,False,True,False,False,False,False,False,False,False,False
17026,0.1226,-0.9,106.01,0,False,False,False,False,False,False,True,False,False,False
16457,0.2812,2.5,57.92,0,False,False,False,False,False,False,True,False,False,False
17127,0.0572,-1.4,42503.25,0,False,False,False,False,False,False,False,False,False,True
12843,0.2242,-1.2,130434.27,0,False,False,False,False,False,True,False,False,False,False
12578,0.0236,1.6,3444.32,0,False,False,False,False,False,False,True,False,False,False
15393,0.4142,0.6,200454.01,1,False,False,False,False,False,False,True,False,False,False
4925,0.46740000000000004,-1.1,138.39,0,False,False,False,False,False,False,True,False,False,False
9975,0.27940000000000004,2.2,61939.15,1,False,False,False,True,False,False,False,False,False,False
4724,0.36060000000000003,-0.8,0.3,0,False,False,False,False,False,False,True,False,False,False
17820,0.0006,-1.5,761747.5,1,False,False,False,False,False,False,False,False,False,True
10709,0.1168,0.3,138.72,0,False,True,False,False,False,False,False,False,False,False
15154,0.3398,2.2,3004.73,0,False,False,True,False,False,False,False,False,False,False
6054,0.059000000000000004,-0.2,674.56,0,False,True,False,False,False,False,False,False,False,False
16220,0.0676,-0.2,138.39,0,False,False,False,False,False,False,True,False,False,False
17090,0.4376,0.1,74.2,0,False,True,False,False,False,False,False,False,False,False
5287,0.0602,0.7,902.8,0,False,True,False,False,False,False,False,False,False,False
12649,0.256,-0.8,923045.8,1,False,False,False,True,False,False,False,False,False,False
8725,0.1474,-0.9,23777.22,1,False,False,True,False,False,False,False,False,False,False
4777,0.3034,0.0,138.39,0,False,False,False,False,False,False,True,False,False,False
3362,0.1164,-1.5,183224.05,1,False,False,False,True,False,False,False,False,False,False
16478,0.1168,0.3,57.92,0,False,False,False,False,False,False,True,False,False,False
7701,0.33880000000000005,1.5,1.75,0,False,True,False,False,False,False,False,False,False,False
1845,0.20559999999999998,-0.9,57661.69,0,False,False,False,False,False,False,True,False,False,False
13142,0.5506,1.2,9598.67,0,False,False,False,False,False,False,True,False,False,False
13754,0.1866,-1.4,160.0,0,False,False,False,False,False,False,False,True,False,False
1322,0.2332,0.6,172971.11,1,False,False,False,False,False,False,True,False,False,False
8525,0.09300000000000001,0.6,1273.51,0,False,False,True,False,False,False,False,False,False,False
16283,0.3456,-0.6,46263.07,0,False,False,False,False,False,False,True,False,False,False
503,0.0286,0.5,3287.63,0,False,False,False,False,False,False,True,False,False,False
5923,0.4384,2.2,8.57,0,False,False,False,False,False,False,True,False,False,False
10995,0.11359999999999999,-0.8,39.17,0,False,False,False,False,False,False,True,False,False,False
17392,0.1582,-1.7,2446.75,0,False,False,False,False,True,False,False,False,False,False
17461,0.2036,-0.8,33970.84,1,False,False,True,False,False,False,False,False,False,False
17696,0.3456,-0.6,428.44,0,False,False,False,False,False,False,True,False,False,False
11614,0.15560000000000002,-1.7,122.22,0,False,False,False,False,False,True,False,False,False,False
6223,0.0602,0.7,26610.45,0,False,True,False,False,False,False,False,False,False,False
2248,0.0336,0.6,268.49,0,False,False,False,False,False,False,True,False,False,False
15730,0.6038,-0.8,7.7,0,False,True,False,False,False,False,False,False,False,False
8310,0.41259999999999997,1.2,160.09,0,False,False,False,False,False,False,False,True,False,False
8692,0.24420000000000003,-0.6,310044.36,1,False,False,True,False,False,False,False,False,False,False
7185,0.3396,-1.1,310044.36,1,False,False,True,False,False,False,False,False,False,False
14480,0.207,-0.8,92799.73,1,False,False,False,False,False,False,False,True,False,False
9450,0.332,1.2,404062.63,1,False,False,False,False,False,False,False,False,False,True
6324,0.6314,-1.4,0.76,0,False,True,False,False,False,False,False,False,False,False
5614,0.0286,0.5,232.52,0,False,False,False,False,False,False,True,False,False,False
2552,0.265,-0.1,6154.6,0,False,False,False,False,False,False,False,True,False,False
2563,0.1202,-0.6,6154.6,0,False,False,False,False,False,False,False,True,False,False
7294,0.198,1.6,107336.95,1,False,False,False,False,False,False,False,True,False,False
5950,0.1476,-1.1,8.57,0,False,False,False,False,False,False,True,False,False,False
8258,0.4104,-1.1,784.93,0,False,False,False,False,False,False,False,True,False,False
14067,0.501,-1.1,145.19,0,False,False,False,False,False,False,False,False,False,True
4787,0.2812,2.5,138.39,0,False,False,False,False,False,False,True,False,False,False
16699,0.3132,0.9,211.65,0,False,True,False,False,False,False,False,False,False,False
12316,0.1902,-0.6,117574.59,1,False,False,False,True,False,False,False,False,False,False
16365,0.1866,-1.4,1120.0,0,False,False,False,False,False,False,False,True,False,False
657,0.0766,-0.9,76678.98,1,False,False,False,False,False,False,False,True,False,False
731,0.2332,0.6,17.12,0,False,False,False,False,False,False,True,False,False,False
4227,0.2868,0.6,690.46,0,False,True,False,False,False,False,False,False,False,False
2708,0.16760000000000003,-1.6,249561.0,1,False,False,False,False,False,False,False,False,False,True
15693,0.1642,0.3,709.49,0,False,False,False,False,True,False,False,False,False,False
14055,0.1524,-1.1,4.56,0,False,True,False,False,False,False,False,False,False,False
9815,0.4412,2.2,117574.59,1,False,False,False,True,False,False,False,False,False,False
1389,0.5770000000000001,-0.8,30779.83,1,False,False,False,False,False,False,False,True,False,False
1875,0.1602,-0.6,235.37,0,False,False,False,False,False,True,False,False,False,False
16058,0.10679999999999999,0.6,21.25,0,False,True,False,False,False,False,False,False,False,False
13956,0.46740000000000004,-1.1,1754.7,0,False,False,False,False,False,False,True,False,False,False
13124,0.20559999999999998,-0.9,9598.67,0,False,False,False,False,False,False,True,False,False,False
5770,0.1186,-1.4,208.39,0,False,False,False,True,False,False,False,False,False,False
11832,0.057999999999999996,0.3,360.0,0,False,False,False,False,False,False,False,True,False,False
3828,0.6038,-0.8,68708.88,0,False,True,False,False,False,False,False,False,False,False
4751,0.057999999999999996,0.3,1000.0,0,False,False,False,False,False,False,False,True,False,False
4287,0.15839999999999999,0.1,1278.72,0,False,False,False,False,False,False,False,True,False,False
3155,0.41659999999999997,2.2,8675.04,0,False,False,False,False,False,False,True,False,False,False
16746,0.135,0.3,3048.27,0,False,False,False,False,False,True,False,False,False,False
7717,0.0336,0.6,62.04,0,False,False,False,False,False,False,True,False,False,False
15639,0.6038,-0.8,58.38,0,False,True,False,False,False,False,False,False,False,False
16262,0.0894,-1.6,138.39,0,False,False,False,False,False,False,True,False,False,False
10850,0.2112,0.9,72041.73,1,False,False,False,False,True,False,False,False,False,False
16735,0.2568,0.5,3048.27,0,False,False,False,False,False,True,False,False,False,False
12145,0.3642,0.1,117574.59,1,False,False,False,True,False,False,False,False,False,False
10334,0.044199999999999996,-0.8,46692.42,0,False,False,False,False,False,False,False,False,False,True
9301,0.027999999999999997,1.6,461901.37,1,False,False,False,False,False,False,False,False,False,True
12695,0.256,-0.8,4554.03,0,False,False,False,True,False,False,False,False,False,False
16598,0.365,-1.5,74999.56,0,False,True,False,False,False,False,False,False,False,False
10437,0.493,-0.9,199.96,0,False,False,False,True,False,False,False,False,False,False
2339,0.5256000000000001,-1.1,46766.45,1,False,False,False,False,False,False,False,True,False,False
2309,0.107,1.3,46766.45,1,False,False,False,False,False,False,False,True,False,False
