,Park_Code,Visitors,Designation,Gross Area Acres,State List,State Count,CEI Region
26,BEOL,34100.0,National Historic Site,798.54,CO,1,Southwest
27,BEPA,2568.9,National Monument,0.34,DC,1,Southeast
28,BIBE,332035.27659574465,National Park,801162.34,TX,1,South
29,BICA,290693.3191489362,National Recreation Area,120296.2,"MT,WY",2,Northern Rockies and Plains
30,BICY,803471.65,National Preserve,146110.69,FL,1,Southeast
31,BICY,803471.65,National Preserve,574453.32,FL,1,Southeast
32,BIHO,47903.085106382976,National Battlefield,969.61,MT,1,Northern Rockies and Plains
33,BISC,464136.6170212766,National Park,172971.11,FL,1,Southeast
34,BISO,708964.075,National River & Recreation Area,123702.05,"KY,TN",2,Ohio Valley
35,BITH,119280.89361702128,National Preserve,113121.96,TX,1,South
36,BLCA,245935.7659574468,National Park,30779.83,CO,1,Southwest
37,BLRI,16534144.914893618,Parkway,102397.89,"NC,VA",2,Southeast
38,BLUE,34610.7,National Scenic River,4309.51,WV,1,Ohio Valley
39,BOAF,308436.4,National Historic Site,0.59,MA,1,Northeast
40,BOHA,9121.4,National Recreation Area,2230.71,MA,1,Northeast
41,BOST,2137525.638297872,National Historical Park,43.82,MA,1,Northeast
42,BOWA,22091.702127659573,National Monument,239.01,VA,1,Southeast
43,BRCA,1249369.2127659575,National Park,35835.08,UT,1,Southwest
44,BRVB,10712.55,National Historical Park,3.15,KS,1,South
45,BUFF,1059729.7021276595,National River,94301.32,AR,1,South
46,BUIS,45588.34042553192,National Monument,19015.47,VI,1,OCONUS-T
47,CABR,1065828.1063829786,National Monument,159.94,CA,1,West
48,CACH,646628.8936170213,National Monument,83840.0,AZ,1,Southwest
49,CACL,3048976.14893617,National Monument,1.0,NY,1,Northeast
50,CACO,4499016.489361702,National Seashore,43591.32,MA,1,Northeast
51,CAGR,111649.31914893616,National Monument,472.5,AZ,1,Southwest
52,CAHA,2246089.234042553,National Seashore,30350.65,NC,1,Southeast
53,CAKR,6844.234042553191,National Monument,649096.15,AK,1,OCONUS
54,CALO,398583.7021276596,National Seashore,28243.36,NC,1,Southeast
55,CANA,1260783.6170212766,National Seashore,57661.69,FL,1,Southeast
56,CANE,6559.4,National Monument,464.97,KY,1,Ohio Valley
57,CANY,427790.7659574468,National Park,337597.83,UT,1,Southwest
58,CARE,697338.4468085107,National Park,241904.5,UT,1,Southwest
59,CARI,13426.9,National Historical Park,235.37,LA,1,South
60,CARL,58148.78723404255,National Historic Site,268.49,NC,1,Southeast
61,CASA,677835.0638297872,National Monument,19.38,FL,1,Southeast
62,CATO,448422.57446808513,Park,5890.92,MD,1,Southeast
63,CAVE,536002.2127659575,National Park,46766.45,NM,1,Southwest
64,CAVO,58520.72340425532,National Monument,792.84,NM,1,Southwest
65,CAWO,340.85,National Historic Site,0.15,DC,1,Southeast
66,CEBR,560649.659574468,National Monument,6154.6,UT,1,Southwest
67,CECH,9308.4,National Monument,116.56,CA,1,West
68,CHAM,152074.40425531915,National Memorial,54.54,TX,1,South
69,CHAT,2469283.234042553,National Recreation Area,12416.5,GA,1,Southeast
70,CHCH,965723.2978723404,National Military Park,9523.48,"GA,TN",2,Multiple
71,CHCU,57737.48936170213,National Historical Park,33960.19,NM,1,Southwest
72,CHIC,1567872.2340425532,National Recreation Area,9898.63,OK,1,South
73,CHIR,64852.02127659575,National Monument,12024.73,AZ,1,Southwest
74,CHIS,310450.1914893617,National Park,249561.0,CA,1,West
75,CHOH,3790913.14893617,National Historical Park,19630.99,"DC,MD,WV",3,Multiple
76,CHPI,27095.75,National Historic Site,28.45,SC,1,Southeast
77,CHRI,108640.36170212766,National Historic Site,27.15,VI,1,OCONUS-T
78,CHSC,47642.85,National Historic Site,28.22,AR,1,South
79,CHYO,4934.1,National Monument,59.66,OH,1,Ohio Valley
80,CIRO,75393.0,National Reserve,14512.27,ID,1,Northwest
81,CLBA,13287.744680851063,National Historic Site,8.59,MD,1,Southeast
82,COLM,370665.0425531915,National Monument,20536.39,CO,1,Southwest
83,COLO,3334758.1276595746,National Historical Park,8675.04,VA,1,Southeast
84,CONG,93907.74468085106,National Park,26692.6,SC,1,Southeast
85,CORO,92573.76595744681,National Memorial,4830.22,AZ,1,Southwest
86,COWP,169777.2340425532,National Battlefield,841.56,SC,1,Southeast
87,CRLA,489756.02127659577,National Park,183224.05,OR,1,Northwest
88,CRMO,223280.93617021278,National Monument & Preserve,53437.64,ID,1,Northwest
89,CRMO,223280.93617021278,National Monument & Preserve,698939.69,ID,1,Northwest
90,CUGA,868812.6382978724,National Historical Park,24546.83,"KY,TN,VA",3,Multiple
91,CUIS,48965.744680851065,National Seashore,36346.83,GA,1,Southeast
92,CURE,978506.9574468085,National Recreation Area,43590.56,CO,1,Southwest
93,CUVA,2228460.829787234,National Park,32607.2,OH,1,Ohio Valley
94,DAAV,47594.575,National Historical Park,110.53,OH,1,Ohio Valley
95,DDEM,182435.05,Memorial,3.39,DC,1,Southeast
96,DENA,433597.5106382979,National Park & Preserve,1334117.8,AK,1,OCONUS
97,DENA,433597.5106382979,National Park & Preserve,4740911.16,AK,1,OCONUS
98,DEPO,114512.89361702128,National Monument,800.19,CA,1,West
99,DESO,225065.97872340426,National Memorial,30.0,FL,1,Southeast
100,DETO,393485.89361702127,National Monument,1347.21,WY,1,Northern Rockies and Plains
101,DEVA,956472.6170212766,National Park,3408374.95,"CA,NV",2,West
102,DEWA,3962587.723404255,National Recreation Area,68708.88,"NJ,PA",2,Northeast
103,DINO,355371.6808510638,National Monument,210281.92,"CO,UT",2,Southwest
104,DRTO,48876.46808510638,National Park,64701.22,FL,1,Southeast
105,EDAL,12172.446808510638,National Historic Site,0.52,PA,1,Northeast
106,EDIS,41067.48936170213,National Historical Park,21.25,NJ,1,Northeast
107,EFMO,81032.46808510639,National Monument,2526.39,IA,1,Upper Midwest
108,EISE,83902.9574468085,National Historic Site,690.46,PA,1,Northeast
109,ELMA,115130.9,National Monument,114247.25,NM,1,Southwest
110,ELMO,57233.44680851064,National Monument,1278.72,NM,1,Southwest
111,ELRO,46626.44680851064,National Historic Site,180.5,NY,1,Northeast
112,EUON,4641.425531914893,National Historic Site,13.19,CA,1,West
113,EVER,919556.7234042553,National Park,108399.27,FL,1,Southeast
114,EVER,919556.7234042553,National Park,1400539.3,FL,1,Southeast
115,FEHA,174575.3404255319,National Memorial,0.45,NY,1,Northeast
116,FIIS,520046.9574468085,National Seashore,19580.65,NY,1,Northeast
117,FILA,10239.9,National Historic Site,0.46,OH,1,Ohio Valley
118,FLFO,76601.68085106384,National Monument,6278.09,CO,1,Southwest
119,FLNI,280417.05,National Memorial,2262.65,PA,1,Northeast
120,FOBO,8185.340425531915,National Historic Site,1000.0,AZ,1,Southwest
121,FOBU,19393.40425531915,National Monument,8198.0,WY,1,Northern Rockies and Plains
122,FODA,56029.29787234042,National Historic Site,523.0,TX,1,South
123,FODO,241307.63829787233,National Battlefield,1316.97,"KY,TN",2,Ohio Valley
124,FOFR,262384.170212766,National Monument,305.34,GA,1,Southeast
125,FOLA,62074.44680851064,National Historic Site,873.11,WY,1,Northern Rockies and Plains
126,FOLS,36097.53191489362,National Historic Site,718.39,KS,1,South
127,FOMA,547354.7659574468,National Monument,300.11,FL,1,Southeast
128,FOMC,584362.2553191489,National Monument and Historic Shrine,43.26,MD,1,Southeast
129,FONE,176895.87234042553,National Battlefield,902.8,PA,1,Northeast
130,FOPO,1377619.0,National Historic Site,29.0,CA,1,West
131,FOPU,359648.3829787234,National Monument,5623.1,GA,1,Southeast
132,FORA,289480.5106382979,National Historic Site,515.73,NC,1,Southeast
133,FOSC,43062.31914893617,National Historic Site,20.08,KS,1,South
134,FOSM,98183.17021276595,National Historic Site,75.0,"AR,OK",2,Multiple
135,FOST,69792.76595744681,National Monument,15.52,NY,1,Northeast
136,FOSU,527277.1702127659,National Historical Park,232.52,SC,1,Southeast
137,FOTH,720418.5957446808,National Historic Site,0.3,DC,1,Southeast
138,FOUN,13175.31914893617,National Monument,720.6,NM,1,Southwest
139,FOUS,17921.042553191488,National Historic Site,440.14,"MT,ND",2,Northern Rockies and Plains
140,FOVA,562571.6808510638,National Historic Site,208.39,"OR,WA",2,Northwest
141,FOWA,348901.06382978725,Park,345.05,MD,1,Southeast
142,FRDE,2076893.625,Undesignated,8.14,DC,1,Southeast
143,FRDO,40047.382978723406,National Historic Site,8.57,DC,1,Southeast
144,FRHI,22569.17021276596,National Historic Site,674.56,PA,1,Northeast
145,FRLA,5736.489361702128,National Historic Site,7.21,MA,1,Northeast
146,FRSP,637908.8297872341,National Military Park,8585.11,VA,1,Southeast
147,FRST,27604.4,National Historical Park,1409.22,"DE,PA",2,Northeast
148,GAAR,6695.0,National Park & Preserve,948608.07,AK,1,OCONUS
149,GAAR,6695.0,National Park & Preserve,7523897.45,AK,1,OCONUS
150,GARI,135326.625,National Recreation Area,11483.44,WV,1,Ohio Valley
151,GATE,7898981.510638298,National Recreation Area,26610.45,"NY,NJ",2,Northeast
152,GEGR,82508.63829787234,National Memorial,0.76,NY,1,Northeast
153,GERO,124820.9574468085,National Historical Park,26.17,IN,1,Ohio Valley
154,GETT,1278201.8510638298,National Military Park,6037.14,PA,1,Northeast
