,Traffic Trend Bins,Region Code,Desig Code,GAA Cat Code,RONI Event Code,RONI Int Code,CEI Cat Code
6079,0,7,10,2,0,4,1
6080,0,7,10,2,1,2,2
6081,0,7,10,2,1,4,2
6082,0,7,10,2,0,2,2
6083,0,7,10,2,1,0,2
6084,0,7,10,2,1,4,0
6085,0,7,10,2,1,4,2
6086,-1,7,10,2,1,4,1
6087,1,7,10,2,0,4,1
6088,0,7,10,2,0,3,1
6089,0,7,10,2,1,4,0
6090,0,7,10,2,1,0,0
6091,0,7,10,2,0,4,2
6092,-1,7,10,2,2,1,0
6093,1,7,10,2,1,0,0
6094,0,7,10,2,1,0,2
6095,-1,7,10,2,1,4,2
6096,0,7,10,2,0,0,0
6097,-1,7,10,2,1,0,0
6098,0,1,27,5,0,0,2
6099,0,1,27,5,1,4,1
6100,0,1,27,5,2,1,2
6101,0,1,27,5,0,3,0
6102,1,1,27,5,1,2,1
6103,-1,1,27,5,1,2,2
6104,1,1,27,5,1,4,1
6105,1,1,27,5,2,1,2
6106,-1,1,27,5,0,4,1
6107,0,1,27,5,2,1,1
6108,0,1,27,5,0,4,1
6109,-1,1,27,5,1,4,0
6110,1,1,27,5,0,4,2
6111,0,1,27,5,1,2,1
6112,-1,1,27,5,1,4,2
6113,1,1,27,5,0,2,1
6114,-1,1,27,5,1,0,0
6115,0,1,27,5,1,4,0
6116,-1,1,27,5,1,4,2
6117,0,1,27,5,1,4,2
6118,0,1,27,5,0,4,2
6119,0,1,27,5,0,3,1
6120,10,1,27,5,1,4,1
6121,1,1,27,5,1,0,1
6122,1,1,27,5,0,4,1
6123,1,1,27,5,2,1,0
6124,0,1,27,5,1,0,0
6125,0,1,27,5,1,0,1
6126,0,1,27,5,1,4,0
6127,1,1,27,5,0,0,0
6128,0,1,27,5,1,0,2
6129,0,1,5,1,0,3,2
6130,0,1,5,1,0,4,2
6131,0,1,5,1,2,1,2
6132,0,1,5,1,0,0,2
6133,0,1,5,1,1,4,1
6134,1,1,5,1,2,1,2
6135,0,1,5,1,0,3,0
6136,0,1,5,1,1,2,1
6137,0,1,5,1,1,2,2
6138,0,1,5,1,1,4,1
6139,0,1,5,1,2,1,2
6140,0,1,5,1,0,4,1
6141,0,1,5,1,2,1,1
6142,0,1,5,1,0,4,1
6143,0,1,5,1,1,4,0
6144,0,1,5,1,0,4,2
6145,0,1,5,1,1,2,1
6146,0,1,5,1,1,4,2
6147,-1,1,5,1,0,2,1
6148,-1,1,5,1,1,0,0
6149,0,1,5,1,1,4,0
6150,0,1,5,1,1,4,2
6151,0,1,5,1,1,4,2
6152,0,1,5,1,0,4,2
6153,0,1,5,1,0,3,1
6154,0,1,5,1,1,4,1
6155,0,1,5,1,1,0,1
6156,0,1,5,1,0,4,1
6157,-1,1,5,1,2,1,0
6158,10,1,5,1,1,0,0
6159,10,1,5,1,1,0,1
6160,0,1,5,1,1,4,0
6161,0,1,5,1,0,0,0
6162,-1,1,5,1,1,0,2
6163,10,7,16,5,1,0,0
6164,-1,7,16,5,1,0,2
6165,1,7,16,5,1,4,2
6166,0,7,16,5,0,0,0
6167,0,7,16,5,1,0,0
6168,0,1,4,2,0,3,2
6169,1,1,4,2,0,4,2
6170,-1,1,4,2,2,1,2
6171,0,1,4,2,0,0,2
6172,10,1,4,2,1,4,1
6173,0,1,4,2,2,1,2
6174,1,1,4,2,0,3,0
6175,-1,1,4,2,1,2,1
6176,0,1,4,2,1,2,2
6177,0,1,4,2,1,4,1
6178,0,1,4,2,2,1,2
6179,-1,1,4,2,0,4,1
6180,0,1,4,2,2,1,1
6181,0,1,4,2,0,4,1
6182,0,1,4,2,1,4,0
